Service name,Source website URL,Summary text,Self-referral,Age
One-to-one and small group mentoring Ignite Youth,https://www.igniteyouth.org.uk/71/Solution-Focused-Approach,"One-to-one and small group mentoring to help young people cope with stress and set goals. Ignite Youth  has roots in the Christian faith but supports young people of all faiths and none. It describes itself as ‘faith based, but not faith biased’ and says its ‘work embraces the diverse and dynamic makeup of our communities’.",1,11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Criminal justive initiatives Ignite Youth,https://www.igniteyouth.org.uk/188/Activities,"Initiatives that support young people to  reduce the risk of them becoming involved in gang activity upon release from prison. Ignite Youth  has roots in the Christian faith but supports young people of all faiths and none. It describes itself as ‘faith based, but not faith biased’ and says its ‘work embraces the diverse and dynamic makeup of our communities’.",1,11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Spear employment programme resurgo,https://resurgo.org.uk/spear-programme/sign-up-for-the-spear-programme/,"A programme of four to six weekly sessions to help unemployed young people with confidence, community, a CV and cover letter, interview training, and follow-on career support for up to 12 months",1,16|17|18|19|20|21|22|23|24
Compass Elevation Compass,https://compass-uk.org/services/harrow-elevation/,Confidential support for young people who need support around their own or someone else’s drug or alcohol use. Offers one-to-one support as well as specialist advice and guidance.,1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
Via Harrow Via,https://www.viaorg.uk/services/harrow/,"Support for adults around their own  or someone else’s alcohol and drug use. Support can include regular sessions with a keyworker, support groups, and health and wellbeing advice.",1,18|19|20|21|22|23|24|25
Unemployment support Harrow Youth Stop,https://harrowyouthstop.careers,"Careers information, advice, guidance and support services for unemployed young people. Some programmes have specific age limits.",1,16|17|18|19|20|21|22|23|24
Young carers’ support Harrow Carers,https://harrowcarers.org/young-carers/,"Offers support including school drop-ins, activities and outings, one-to-one support, residentials, and home visits. Also support young people to access an assessment to talk about their caring role and any support they need.",1,8|9|10|11|12|13|14|15|16|17
Young adult carers’s support Harrow Carers,https://harrowcarers.org/young-carers/young-adult-carers/,"Offers emotional and wellbeing support (including counselling), support with moving from school to further education or employment, workshops for confidence and employment skills, and social activities, trips, and residentials.",1,16|17|18|19|20|21|22|23|24|25
Therapy for suicidal men James’ Place,https://www.jamesplace.org.uk/what-we-do/our-centres/london-centre/,"Six to eight face-to-face therapy sessions in Moorgate for men in suicidal crisis. James’ Place sees men quickly, without a waiting list. They cannot see people who are receiving treatment for a severe and long-lasting mental health condition. They welcome conversations with non-binary people who feel this service is right for them.",1,18|19|20|21|22|23|24|25
Support for bereaved young people Bereavement Care,https://bereavementcareandsupport.co.uk/how-we-can-help-you%3F,Specially trained volunteers support young people to understand and express their grief in ways that make sense for them. They can offer support at school or at home.,1,8|9|10|11|12|13|14|15|16|17|18
AIMS mentoring Hillingdon Council,https://www.hillingdon.gov.uk/targeted-programmes#cookie-consents-updated,"One-to-one mentoring to help children and young people overcome challenges and teach their potential. Mentors meet with you once a week to give advice, feedback, and encouragement.",1,11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Being Me Hillingdon Council,https://www.hillingdon.gov.uk/targeted-programmes#cookie-consents-updated,"Support for young people who have witnessed domestic abuse to explore self-esteem, healthy relationships and personal safety. and health and wellbeing advice.",1,8|9|10|11|12|13|14|15|16|17
BOUNCE Hillingdon Council,https://www.hillingdon.gov.uk/targeted-programmes#cookie-consents-updated,"Group programme to build resilience, communication and self-esteem for 8 to 11-year-olds.",1,8|9|10|11
iChoose Hillingdon Council,https://www.hillingdon.gov.uk/targeted-programmes#cookie-consents-updated,"Weekly groups for boys and young men. Each week, explore issues that affect young people through games, cooking, craft, sport, activities and discussion.",1,12|13|14|15|16|17|18|19
LGBTQIA+ Drop-in Hillingdon Council,https://www.hillingdon.gov.uk/targeted-programmes#cookie-consents-updated,Fortnightly groups for 13 to 16-year-olds and 16 to 19-year-olds who are questioning or identify as LGBTQIA+.,1,13|14|15|16|17|18|19
LINK counselling Hillingdon Council,https://www.hillingdon.gov.uk/targeted-programmes#cookie-consents-updated,"One-to-one counselling, online or in a community location.",1,13|14|15|16|17|18|19|20|21|22|23|24
SORTED Hillingdon Council,https://www.hillingdon.gov.uk/targeted-programmes#cookie-consents-updated,One-to-one mentoring and counselling around drugs and alcohol education.,1,11|12|13|14|15|16|17|18|19
